x,y,log_zinc,dist,elev,om,copper,lead,cadmium,dist_m,ffreq,soil
179692,330933,4.7791,0.451037,7.64,3.6,22,45,0.7,560,1.0,1.0
179852,330801,6.6567,0.575877,6.32,6.9,55,325,3.4,750,1.0,1.0
179140,330955,6.5554,0.0756869,5.76,7.0,47,268,3.9,80,1.0,1.0
179128,330867,6.5162,0.12481,6.48,6.2,46,252,3.5,130,1.0,1.0
179065,330864,6.6758,0.103024,6.48,6.5,55,315,4.7,110,1.0,1.0
179007,330727,6.5294,0.157469,6.32,5.7,49,260,3.9,200,1.0,1.0
179110,330758,6.3852,0.200976,6.32,7.0,39,237,3.1,260,1.0,1.0
179032,330645,6.3081,0.200976,6.16,7.3,45,228,2.9,270,1.0,1.0
179095,330636,6.5221,0.26622,6.56,8.2,48,241,3.9,320,1.0,1.0
179058,330510,6.2897,0.298835,6.9,4.3,36,201,2.7,360,1.0,1.0
178810,330666,6.3279,0.0812247,7.54,4.4,36,204,2.5,80,1.0,1.0
178912,330779,7.0353,0.070355,6.42,8.2,68,429,5.6,100,1.0,1.0
178981,330924,7.232,0.0122243,6.28,8.5,88,462,9.4,70,1.0,1.0
179076,331005,7.057,0.0,6.34,9.6,85,333,10.8,20,1.0,1.0
180151,330353,7.4218,0.0537723,7.307,17.0,76,464,18.1,50,1.0,1.0
179211,331175,6.6399,0.0593662,5.7,12.8,63,159,6.3,80,1.0,1.0
181118,333214,5.6312,0.211843,7.72,5.9,32,116,2.1,290,1.0,2.0
179474,331304,5.4848,0.12481,7.932,2.9,25,81,1.8,160,2.0,2.0
179559,331423,5.7589,0.12481,7.82,4.5,27,131,2.2,160,2.0,1.0
179022,330873,6.3008,0.0921516,8.575,10.7,36,216,2.8,140,2.0,1.0
178953,330742,6.2246,0.113941,8.536,9.4,41,145,2.4,150,2.0,1.0
178875,330516,6.0403,0.179216,8.504,9.0,33,163,2.6,220,2.0,1.0
178803,330349,5.8051,0.233596,8.659,7.0,27,129,1.8,280,2.0,1.0
179029,330394,5.9915,0.336861,7.633,6.5,38,148,2.0,450,2.0,1.0
178605,330406,6.3154,0.070355,8.538,9.4,37,214,2.7,70,2.0,1.0
178701,330557,6.3578,0.0593662,7.68,10.2,34,226,2.7,70,2.0,1.0
179547,330245,5.0434,0.255341,7.564,6.4,19,54,0.9,340,2.0,1.0
179301,330179,5.4116,0.364067,7.76,7.6,22,70,0.9,470,2.0,1.0
179405,330567,5.193,0.429295,7.653,7.0,26,73,0.4,630,2.0,1.0
179462,330766,5.4205,0.380328,7.951,5.6,25,87,0.8,460,2.0,1.0
179293,330797,5.2257,0.249874,8.176,6.5,22,76,0.4,320,2.0,1.0
179180,330710,5.2883,0.266212,8.468,6.6,24,81,0.4,320,2.0,1.0
179206,330398,5.2311,0.451037,8.41,5.9,18,68,0.4,540,2.0,1.0
179618,330458,5.2933,0.30971,7.61,6.5,23,66,0.8,420,2.0,1.0
179782,330540,5.0562,0.293359,7.792,6.4,22,49,0.4,380,2.0,1.0
179980,330773,5.3132,0.532351,8.76,7.2,23,63,0.4,500,2.0,2.0
180067,331185,4.9628,0.619513,9.879,6.6,23,48,0.4,760,2.0,3.0
180162,331387,4.9127,0.684725,9.097,4.3,23,51,0.2,750,2.0,2.0
180451,331473,4.7622,0.809742,9.095,5.3,18,50,0.2,1000,2.0,3.0
180328,331158,4.7274,0.880389,9.717,4.1,20,39,0.4,860,2.0,3.0
180276,330963,4.8675,0.749591,9.924,6.1,22,48,0.2,680,2.0,3.0
180114,330803,5.2575,0.575752,9.404,7.5,27,64,0.2,500,2.0,3.0
179881,330912,5.4806,0.581484,10.52,8.8,25,84,0.4,650,2.0,3.0
179774,330921,5.3982,0.49452,8.84,5.7,30,67,0.2,630,2.0,3.0
179657,331150,4.9416,0.32058,8.472,6.1,23,49,0.2,410,2.0,3.0
179731,331245,4.852,0.336851,9.634,7.1,24,48,0.2,390,2.0,3.0
179717,331441,5.112,0.249852,9.206,4.1,21,56,0.2,310,2.0,2.0
179446,331422,5.2523,0.0756869,8.47,6.0,24,65,0.2,70,2.0,1.0
179524,331565,5.4467,0.0756869,8.463,6.6,21,84,0.2,70,2.0,1.0
179644,331730,5.3132,0.162853,9.691,6.8,23,75,0.2,150,2.0,1.0
180321,330366,6.582,0.0974916,8.704,9.1,53,250,3.7,80,2.0,2.0
180162,331837,5.3471,0.440142,9.42,5.9,33,81,0.2,450,2.0,2.0
180029,331720,5.2883,0.4619,9.573,4.9,22,72,0.2,530,2.0,2.0
179797,331919,4.9345,0.222701,9.555,7.1,23,86,0.2,240,2.0,1.0
179642,331955,5.5334,0.103024,8.779,8.1,25,94,0.2,70,2.0,1.0
179849,332142,6.5554,0.0921353,8.54,8.3,30,244,1.2,70,2.0,1.0
180265,332297,6.7238,0.0484884,8.809,10.0,47,297,2.4,60,2.0,1.0
180107,332101,5.5683,0.168331,9.523,5.9,31,96,0.2,190,2.0,1.0
180462,331947,4.9558,0.38581,9.811,5.0,20,56,0.2,450,2.0,2.0
180478,331822,4.7791,0.489064,9.604,4.5,16,49,0.2,550,2.0,2.0
180347,331700,5.0239,0.57602,9.732,5.4,17,50,0.2,650,2.0,2.0
180862,333116,6.0283,0.0812194,9.518,2.3,26,148,0.4,100,2.0,1.0
180700,332882,6.1612,0.0373369,9.72,7.5,34,162,1.6,170,2.0,1.0
180201,331160,4.8363,0.771698,9.036,4.6,18,37,0.8,860,2.0,3.0
180173,331923,5.3471,0.336829,9.528,5.8,23,80,1.2,410,2.0,2.0
180923,332874,5.3936,0.228123,9.155,4.4,20,80,0.2,290,3.0,1.0
180467,331694,4.8903,0.597761,10.08,4.4,14,49,0.2,680,3.0,2.0
179917,331325,4.9488,0.44558,9.97,4.5,46,42,0.8,540,3.0,2.0
179822,331242,5.0626,0.396675,10.136,5.2,29,48,1.0,480,3.0,2.0
179991,331069,4.8598,0.581478,10.32,4.6,19,41,0.8,720,3.0,3.0
179120,330578,5.3279,0.287966,9.041,6.9,31,73,1.2,380,3.0,1.0
179034,330561,6.1115,0.233596,7.86,7.0,27,146,2.0,310,3.0,1.0
179085,330433,5.6904,0.364067,8.741,5.4,29,95,1.5,430,3.0,1.0
179236,330046,5.2417,0.331454,7.822,6.2,22,72,1.1,370,3.0,1.0
179456,330072,5.037,0.211846,7.78,5.0,20,51,0.8,290,3.0,1.0
179550,329940,5.1299,0.103029,8.121,5.1,20,54,0.8,150,3.0,1.0
179445,329807,5.9989,0.070355,8.231,8.1,29,136,2.1,70,3.0,1.0
179337,329870,6.1549,0.146576,8.351,8.0,38,170,2.5,220,3.0,1.0
179245,329714,6.4167,0.0537723,7.3,8.8,39,179,3.8,80,3.0,1.0
179024,329733,6.3986,0.119286,7.536,9.3,35,200,3.2,120,3.0,1.0
178786,329822,6.6631,0.0921435,7.706,8.4,42,258,3.1,120,3.0,1.0
179135,329890,5.553,0.249863,8.07,7.7,24,93,1.5,260,3.0,1.0
179030,330082,5.366,0.37494,8.226,5.7,20,68,1.2,440,3.0,1.0
179184,330182,5.112,0.423837,8.128,4.7,20,49,0.8,540,3.0,1.0
179085,330292,6.2066,0.423837,8.577,9.1,39,173,3.1,520,3.0,1.0
178875,330311,5.8348,0.27709,8.429,6.5,31,119,2.1,350,3.0,1.0
179466,330381,5.0876,0.358606,9.406,5.7,21,51,0.8,460,3.0,1.0
180627,330190,5.9269,0.0122243,8.261,5.5,27,124,2.7,40,3.0,3.0
